Time,Distance[km],Battery SOC[%],Motor RPS,Motor RPM,Speed[km/h],Motor Torque,SOC Voltage[V],Electric_consumption_current[A],Electirc Power[W],Motor Power[W]
0,0,100,0,0,0,0,381,0.787298526,0,0
1,0,99.9998147,0,0,0,0,380.999703,0.787299168,0,0
2,0,99.9996293,0,0,0,0,380.999407,0.787299809,0,0
3,0,99.999444,0,0,0,0,380.99911,0.787300451,0,0
4,0,99.9992587,0,0,0,0,380.998814,0.787301092,0,0
5,0,99.9990733,0,0,0,0,380.998517,0.787301734,0,0
6,0,99.998888,0,0,0,0,380.998221,0.787302375,0,0
7,0,99.9987027,0,0,0,0,380.997924,0.787303017,0,0
8,0,99.9985173,0,0,0,0,380.997628,0.787303658,0,0
9,0,99.998332,0,0,0,0,380.997331,0.7873043,0,0
10,0,99.9981467,0,0,0,0,380.997035,0.787304942,0,0
11,0,99.9979613,0,0,0,0,380.996738,0.787305583,0,0
12,0,99.997776,0,0,0,0,380.996442,0.787306225,0,0
13,0,99.9975906,0,0,0,0,380.996145,0.787306866,0,0
14,0,99.9974053,0,0,0,0,380.995848,0.787307508,0,0
15,0,99.99722,0,0,0,0,380.995552,0.787308149,0,0
16,0,99.9970346,0,0,0,0,380.995255,0.787308791,0,0
17,0,99.9968493,0,0,0,0,380.994959,0.787309433,0,0
18,0,99.996664,0,0,0,0,380.994662,0.787310074,0,0
19,0,99.9964786,0,0,0,0,380.994366,0.787310716,0,0
20,0.000539656162,99.9958106,266.374015,4.43956692,4.28823265,35.7741969,380.993297,0.787313028,1662.93727,997.907688
21,0.00238297212,99.9942064,557.212078,9.28686796,8.97030072,34.7963313,380.99073,0.787318582,2897.24268,2030.40464
22,0.00548622863,99.9920433,829.053597,13.81756,13.3465522,32.754223,380.987269,0.787326071,3610.07745,2843.66562
23,0.00983304906,99.9892028,1116.67673,18.6112788,17.9768646,35.2051673,380.982725,0.787335904,4802.15149,4116.82585
24,0.0154560778,99.9858444,1397.36786,23.2894643,22.4955819,34.3871748,380.977351,0.787347532,5597.72717,5031.94475
25,0.0222936877,99.9821287,1659.07285,27.6512141,26.70865,32.493911,380.971406,0.787360398,6123.49262,5645.41743
26,0.0298933892,99.98067,1721.79916,28.6966527,27.7184521,8.24639958,380.969072,0.787365449,1606.18688,1486.87851
27,0.0377549523,99.978975,1797.5321,29.9588683,28.9376417,12.7751886,380.96636,0.787371318,2601.33059,2404.76472
28,0.0462988578,99.9747002,2038.45902,33.974317,32.8162134,33.0415988,380.95952,0.787386122,7518.45092,7053.28863
29,0.0557040546,99.9719821,2154.84338,35.9140563,34.6898315,15.5403072,380.955171,0.787395535,3794.34638,3506.7429
30,0.0655087934,99.9698476,2227.82004,37.1303339,35.8646492,12.3469736,380.951756,0.787402927,3138.4237,2880.50905
31,0.075518407,99.9686377,2244.01263,37.4002106,36.1253264,5.74153587,380.94982,0.787407118,1490.66745,1349.2176
32,0.0854846996,99.9683298,2209.26515,36.8210859,35.5659427,0.153345644,380.949328,0.787408184,39.5635227,35.4770831
33,0.0952343563,99.9682195,2150.32586,35.8387643,34.6171061,-0.648512549,380.949151,0.787408566,-131.679325,-146.033092
34,0.104716203,99.9681165,2090.38672,34.8397787,33.6521736,-0.679028403,380.948986,0.787408923,-134.783226,-148.642567
35,0.113950383,99.9679766,2039.97707,33.9996178,32.8406517,-0.37202746,380.948763,0.787409407,-72.3775891,-79.4747006
36,0.12294072,99.9678747,1980.49313,33.0082189,31.8830472,-0.731185707,380.9486,0.78740976,-138.901722,-151.645543
37,0.131214741,99.9685428,1710.84518,28.5140863,27.5421089,-8.14383046,380.949669,0.787407446,-1350.64665,-1459.04287
38,0.138382522,99.9689333,1497.82385,24.9637309,24.1127767,-5.91701338,380.950293,0.787406094,-859.761391,-928.093885
39,0.145031564,99.9684213,1486.33058,24.7721764,23.9277518,3.51776379,380.949474,0.787407867,587.97325,547.533514
40,0.151732691,99.9675534,1513.18169,25.2196948,24.3600154,6.86857677,380.948085,0.787410873,1177.00685,1088.39478
41,0.158566346,99.9666317,1543.1399,25.7189984,24.8422989,6.90571267,380.946611,0.787414065,1206.41067,1115.94406
42,0.165570316,99.9654653,1590.99657,26.5166094,25.6127213,9.17827209,380.944745,0.787418105,1658.7141,1529.18063
43,0.172905637,99.9635271,1694.6176,28.2436267,27.2808687,15.9504808,380.941643,0.787424818,3066.65303,2830.57137
44,0.180892777,99.9602208,1884.97914,31.416319,30.3454114,26.1725537,380.936353,0.787436271,5549.62796,5166.31955
45,0.189768482,99.9564133,2084.63603,34.7439339,33.5595958,26.4813918,380.930261,0.78744946,6179.02651,5780.95601
46,0.199464284,99.9528214,2248.48318,37.4747197,36.1972957,22.3332418,380.924514,0.787461903,5637.58511,5258.5987
47,0.209621801,99.9512668,2282.93582,38.0489304,36.7519328,6.91567582,380.922027,0.78746729,1825.40429,1653.32011
48,0.219802637,99.9505989,2267.11608,37.785268,36.4972581,2.46518167,380.920958,0.787469603,652.242842,585.263319
49,0.229914305,99.9498531,2256.10215,37.6017025,36.31995,3.55125895,380.919765,0.787472187,932.076359,839.014989
50,0.239743934,99.9499981,2133.59941,35.5599902,34.3478347,-2.98007015,380.919997,0.787471685,-603.569181,-665.837097
51,0.248790855,99.9505562,1908.41116,31.8068526,30.7226327,-6.40378248,380.92089,0.787469751,-1179.87996,-1279.78536
52,0.256892671,99.9509337,1716.7539,28.612565,27.6372307,-5.16600726,380.921494,0.787468443,-862.982158,-928.734701
53,0.264267483,99.9510759,1584.10846,26.4018076,25.5018328,-3.22778318,380.921721,0.787467951,-499.28559,-535.44872
54,0.271318346,99.9505393,1576.2358,26.2705967,25.3750945,3.62915394,380.920863,0.78746981,642.917479,599.039135
55,0.278712294,99.9477237,1746.26963,29.1044939,28.112391,24.8684076,380.916358,0.787479565,4911.27956,4547.65906
56,0.286981775,99.9440628,1953.85649,32.5642749,31.4542362,27.3818788,380.9105,0.787492249,6001.42679,5602.5343
57,0.296133278,99.9403941,2136.64661,35.6107768,34.3968901,24.3550799,380.904631,0.787504961,5832.40935,5449.42743
58,0.306053351,99.9367449,2298.41807,38.3069679,37.0011745,22.4206373,380.898792,0.787517606,5783.3489,5396.41822
59,0.3165795,99.9338292,2404.43206,40.0738677,38.7078449,15.9793158,380.894127,0.78752771,4360.84375,4023.45649
60,0.327445824,99.9319006,2450.56142,40.8426904,39.4504603,9.43261862,380.891041,0.787534394,2669.31951,2420.61927
61,0.338475378,99.9302196,2481.53658,41.358943,39.949115,8.3857613,380.888351,0.78754022,2411.55437,2179.17343
62,0.349602965,99.9288836,2493.58703,41.5597838,40.1431096,6.19800758,380.886214,0.78754485,1803.75202,1618.47223
63,0.360685317,99.9284779,2458.84443,40.9807405,39.5838046,0.604758104,380.885565,0.787546256,176.362636,155.718914
64,0.371646068,99.9276588,2445.76285,40.7627141,39.3732102,3.89607366,380.884254,0.787549095,1118.3386,997.861164
65,0.382615259,99.9262596,2462.6197,41.0436617,39.6445809,7.24424453,380.882015,0.787553944,2073.73777,1868.18151
66,0.393654107,99.9249597,2473.63554,41.2272591,39.8219199,6.15986188,380.879936,0.78755845,1777.56205,1595.64143
67,0.404701737,99.9240267,2465.72721,41.0954534,39.6946072,3.93400707,380.878443,0.787561683,1139.08413,1015.80134
68,0.415705708,99.9231405,2455.74956,40.9291593,39.5339817,3.91502945,380.877025,0.787564755,1128.68602,1006.81048
69,0.426683226,99.9220843,2454.7167,40.911945,39.5173542,5.01847931,380.875335,0.787568416,1441.33024,1290.0369
70,0.437751103,99.9201322,2499.44244,41.657374,40.2373732,10.6306566,380.872212,0.787575183,3061.06882,2782.47869
71,0.449039717,99.9180268,2549.33979,42.4889965,41.0406477,10.7274212,380.868843,0.787582481,3152.18354,2863.8593
72,0.4604788,99.916591,2563.45868,42.7243113,41.2679412,6.33375607,380.866546,0.787587458,1897.61264,1700.26366
73,0.471891773,99.9159671,2537.66202,42.2943669,40.8526526,1.86176303,380.865547,0.787589621,559.963019,494.751134
74,0.483135829,99.9157713,2489.60904,41.4934839,40.0790698,-0.134021339,380.865234,0.7875903,-30.7629868,-34.9408705
75,0.494267232,99.914591,2493.61101,41.5601836,40.1434958,6.19781147,380.863346,0.787594391,1803.71456,1618.43658
76,0.505495016,99.9127532,2530.4257,42.1737617,40.7361585,9.58511272,380.860405,0.787600762,2803.66416,2539.91646
77,0.516936198,99.9104543,2588.23183,43.1371972,41.6667528,11.9092192,380.856727,0.787608732,3542.75449,3227.86291
78,0.528535179,99.9091483,2594.44054,43.2406757,41.766704,5.28974779,380.854637,0.78761326,1610.6843,1437.16723
79,0.540082551,99.9085291,2567.60991,42.7934986,41.33477,1.92048339,380.853646,0.787615407,585.032445,516.378579
80,0.551624657,99.9067014,2600.28532,43.3380887,41.8607964,9.72230781,380.850722,0.787621744,2923.9961,2647.3965
81,0.563378233,99.9043188,2658.08882,44.3014804,42.7913483,12.0492755,380.84691,0.787630004,3679.78028,3353.96897
